prefix,total_count,entropy,max_byte,max_count,nz
0a0ae69989e6b7aee5,1,0,8d,1,255
0a0ae69989e7,2,1,a9,1,254
0a0ae69989e7a9,1,0,86,1,255
0a0ae69989e7a986,1,0,e3,1,255
0a0ae69989e7a986e3,1,0,80,1,255
0a0ae69989e7be,1,0,a9,1,255
0a0ae69989e7bea9,1,0,e7,1,255
0a0ae69989e7bea9e7,1,0,86,1,255
0a0ae69b,2,0,87,2,255
0a0ae69b87,2,0,e6,2,255
0a0ae69b87e6,1,0,b8,1,255
0a0ae69b87e6b8,1,0,b8,1,255
0a0ae69b87e6b8b8,1,0,e9,1,255
0a0ae69b87e6b8b8e9,1,0,81,1,255
0a0ae69c,12,0.650022,83,10,254
0a0ae69c83,10,0,e7,10,255
0a0ae69c83e7,5,0,a8,5,255
0a0ae69c83e7a8,5,0,bd,5,255
0a0ae69c83e7a8bd,5,1.92193,e5,2,252
0a0ae69c83e7a8bde2,1,0,96,1,255
0a0ae69c83e7a8bde5,2,1,89,1,254
0a0ae69c83e7a8bde6,1,0,9c,1,255
0a0ae69c83e7a8bde7,1,0,9b,1,255
0a0ae69c89,2,0,e4,2,255
0a0ae69c89e4,1,0,b8,1,255
0a0ae69c89e4b8,1,0,80,1,255
0a0ae69c89e4b880,1,0,e5,1,255
0a0ae69c89e4b880e5,1,0,82,1,255
0a0ae69d,2,0,8e,2,255
0a0ae69d8e,2,0,e5,2,255
0a0ae69d8ee5,1,0,ad,1,255
0a0ae69d8ee5ad,1,0,90,1,255
0a0ae69d8ee5ad90,1,0,e8,1,255
0a0ae69d8ee5ad90e8,1,0,b1,1,255
0a0ae69e,2,0,97,2,255
0a0ae69e97,2,0,e6,2,255
0a0ae69e97e6,1,0,85,1,255
0a0ae69e97e685,1,0,ae,1,255
0a0ae69e97e685ae,1,0,e5,1,255
0a0ae69e97e685aee5,1,0,b1,1,255
0a0ae6a1,6,0,93,6,255
0a0ae6a193,6,0,e5,6,255
0a0ae6a193e5,3,1.58496,93,1,253
0a0ae6a193e593,1,0,b2,1,255
0a0ae6a193e593b2,1,0,e5,1,255
0a0ae6a193e593b2e5,1,0,ad,1,255
0a0ae6a193e5a4,1,0,a7,1,255
0a0ae6a193e5a4a7,1,0,e5,1,255
